Transects,Tr_id,Model,mean,sd,l25,u95
T1,1,MHDS,0.009283557,0.935965901,-2.452756166,1.006665165
T1,1,HDS,-1.07501E-05,0.429199374,-0.96106555,0.491747452
T2,2,MHDS,-0.045326866,3.106821997,-8.175757084,3.693593679
T2,2,HDS,-0.018605342,2.826104106,-7.322500304,3.453447121
T3,3,MHDS,0.009291891,2.910439157,-7.67966823,3.527362104
T3,3,HDS,-0.025075284,2.804415667,-7.27018967,3.3408992
T4,4,MHDS,0.090234524,13.08756289,-32.72352194,18.22132946
T4,4,HDS,0.238470323,24.29752636,-55.2943792,34.17704807
T5,5,MHDS,0.00461762,1.377221532,-3.687531101,1.541582608
T5,5,HDS,-0.013185145,0.767159645,-1.924752193,0.871084434
T6,6,MHDS,-0.020025415,1.537824719,-4.009582659,1.710529404
T6,6,HDS,0.005901357,0.856838692,-2.347489867,1.035931612
T7,7,MHDS,-0.020482614,3.857125878,-10.08760894,4.670401931
T7,7,HDS,-0.020823917,4.322027212,-11.17524553,5.344282049
T8,8,MHDS,-0.043626627,6.551359474,-16.95489571,8.116117414
T8,8,HDS,-0.036835843,11.15646938,-27.24052499,14.62727306
T9,9,MHDS,-0.080364813,13.53537542,-35.68875417,17.99999591
T9,9,HDS,0.227380973,27.75124577,-64.46913831,37.198347
T10,10,MHDS,0.160077093,20.94888342,-50.53222674,29.55856247
T10,10,HDS,-0.152862954,49.26226325,-79.57528121,58.82257945
T11,11,MHDS,-0.009888396,0.81014934,-2.311880542,0.842445378
T11,11,HDS,0.002029601,0.322560898,-0.938444099,0.385319579
T12,12,MHDS,0.014588521,1.747012752,-4.4601788,2.009846122
T12,12,HDS,0.005874921,1.630814046,-4.209557261,1.869239416
T13,13,MHDS,-0.008789152,1.471276233,-3.850916717,1.625605501
T13,13,HDS,0.000958794,0.779360295,-2.094233592,0.950808339
T14,14,MHDS,0.018229333,3.833052127,-10.0356586,4.735706826
T14,14,HDS,-0.012512536,4.368381173,-11.4378976,5.602031419
T15,15,MHDS,0.032020073,1.727839958,-4.446664081,1.978091293
T15,15,HDS,0.005895301,1.236384172,-3.265916082,1.422281209
T16,16,MHDS,0.024906749,2.594843652,-6.717027966,3.126153671
T16,16,HDS,-0.031980599,2.439149368,-6.324415811,2.927921088
T17,17,MHDS,0.017662107,1.83430979,-4.748308806,2.146249581
T17,17,HDS,0.002819479,1.190669321,-3.094172662,1.403956221
T18,18,MHDS,0.009886866,1.627571377,-4.295225861,1.843412933
T18,18,HDS,0.015570715,0.969964297,-2.518395418,1.165759016
T19,19,MHDS,-0.011126423,1.27559085,-3.353424814,1.394608233
T19,19,HDS,-0.006694531,0.652430582,-1.736562095,0.771726629
T20,20,MHDS,-0.004923481,1.189694161,-3.184322653,1.314396003
T20,20,HDS,0.005224681,0.569576404,-1.663441596,0.682891042
T21,21,MHDS,0.005766033,1.367466719,-3.619479334,1.525246012
T21,21,HDS,-0.004823422,0.773060069,-2.037586774,0.903523905
T22,22,MHDS,0.007782965,4.924722197,-12.31776856,6.046178296
T22,22,HDS,-0.010229914,6.939965389,-17.79784202,8.973411681
T23,23,MHDS,0.053524436,4.166903298,-10.74849191,5.143621133
T23,23,HDS,-0.015743142,5.197793162,-13.4213089,6.564397979
T24,24,MHDS,-0.016456354,1.15244363,-3.084482389,1.220816708
T24,24,HDS,0.005924938,0.559128706,-1.629063343,0.675338666
T25,25,MHDS,0.010444756,3.164795434,-7.950910723,3.837777084
T25,25,HDS,0.043957873,3.121488838,-8.071295079,3.793608678
T26,26,MHDS,-0.079067233,4.746412627,-12.49470999,5.687979333
T26,26,HDS,-0.016654802,7.321196364,-19.02160608,9.541689107
T27,27,MHDS,0.009455473,5.165616692,-13.35193542,6.32106833
T27,27,HDS,-0.029085454,8.400447885,-21.4910202,10.90878081
T28,28,MHDS,-0.028448744,4.965261663,-12.84203509,6.00814977
T28,28,HDS,0.034165767,6.820950072,-17.71653691,8.835151203
T29,29,MHDS,-0.001274125,2.577739229,-6.82327571,3.10145142
T29,29,HDS,-0.005830594,2.252841832,-5.809439018,2.742207658
T30,30,MHDS,0.001252684,0.957302461,-2.511824924,1.022188732
T30,30,HDS,0.001553442,0.415151739,-0.954747985,0.477742288
T31,31,MHDS,0.003079853,0.529136169,-1.610693956,0.600489933
T31,31,HDS,0.000688277,0.188681467,1.66619E-07,0.181294625
T32,32,MHDS,0.004524157,0.969956439,-2.540945313,1.011317198
T32,32,HDS,-0.002198869,0.416913637,-0.961154778,0.476467957
T33,33,MHDS,0.005161914,5.098697363,-13.31326944,6.320693266
T33,33,HDS,0.062905028,7.481795219,-18.45371709,9.899394084
T34,34,MHDS,0.009772639,4.709250177,-12.27303008,5.775887389
T34,34,HDS,-0.044785756,8.111537597,-20.21382878,10.57758132
T35,35,MHDS,-0.034835737,4.214527508,-10.96794578,5.073869033
T35,35,HDS,0.010427278,5.162518171,-13.11177024,6.508183735
T36,36,MHDS,-0.007362225,0.754665909,-2.066428944,0.798955052
T36,36,HDS,0.003266407,0.285540911,-0.902646105,0.31842475
