transects,model,bias_per_transect,observed_nests
bias_tr1,HDS,-0.068668936,8.699533333
bias_tr2,HDS,-0.004560144,3.808266667
bias_tr3,HDS,0.061040214,3.7908
bias_tr4,HDS,-0.013528008,0.745266667
bias_tr5,HDS,-0.011379818,6.816133333
bias_tr6,HDS,0.029525338,6.232
bias_tr7,HDS,0.025295857,3.236066667
bias_tr8,HDS,-0.01649881,2.185866667
bias_tr9,HDS,-0.015520374,1.1542
bias_tr10,HDS,-0.007463672,0.8916
bias_tr11,HDS,0.008960599,9.320266667
bias_tr12,HDS,0.056703423,3.818
bias_tr13,HDS,-0.002019985,6.335933333
bias_tr14,HDS,0.024426384,3.133866667
bias_tr15,HDS,-0.069788108,5.276133333
bias_tr16,HDS,0.013530543,3.839266667
bias_tr17,HDS,-0.031418555,5.299666667
bias_tr18,HDS,0.009585915,5.299933333
bias_tr19,HDS,-0.087145725,7.554666667
bias_tr20,HDS,-0.047221887,7.269666667
bias_tr21,HDS,-0.116933009,6.489266667
bias_tr22,HDS,0.041008253,2.743666667
bias_tr23,HDS,0.002701575,3.112
bias_tr24,HDS,-0.053243113,7.731066667
bias_tr25,HDS,0.055454444,3.841
bias_tr26,HDS,0.009198348,2.4074
bias_tr27,HDS,0.058518888,2.0728
bias_tr28,HDS,0.041501037,2.3388
bias_tr29,HDS,0.006871949,3.8942
bias_tr30,HDS,-0.011163426,8.709666667
bias_tr31,HDS,-0.043907665,13.20753333
bias_tr32,HDS,0.009704544,8.501733333
bias_tr33,HDS,0.005308181,2.258733333
bias_tr34,HDS,-0.012359566,1.8492
bias_tr35,HDS,0.006619328,2.707333333
bias_tr36,HDS,0.057633449,9.894866667
bias_tr37,HDS,-0.178225521,17.35666667
bias_tr38,HDS,0.054912151,19.56386667
bias_tr39,HDS,0.012836964,13.39746667
bias_tr40,HDS,-0.224467865,22.83826667
bias_tr41,HDS,0.140500637,14.49006667
bias_tr42,HDS,-0.049297919,17.89013333
bias_tr43,HDS,0.011283809,20.8882
bias_tr44,HDS,-0.185258764,16.37413333
bias_tr45,HDS,-0.068636436,17.50613333
bias_tr46,HDS,-0.039065446,17.82906667
