transects,model,bias_per_transect,observed_dung
bias_tr1,HDS,0.021226089,3.694666667
bias_tr2,HDS,-0.090478682,20.1008
bias_tr3,HDS,0.035185001,20.50433333
bias_tr4,HDS,-0.092477799,29.40066667
bias_tr5,HDS,-0.054571907,6.814466667
bias_tr6,HDS,-0.09707944,9.039133333
bias_tr7,HDS,0.085847684,22.593
bias_tr8,HDS,0.36329186,26.87713333
bias_tr9,HDS,0.11979892,23.2154
bias_tr10,HDS,0.415070637,23.99106667
bias_tr11,HDS,0.064142678,2.712333333
bias_tr12,HDS,0.252574258,19.3778
bias_tr13,HDS,-0.035943277,8.669266667
bias_tr14,HDS,-0.322218043,24.7334
bias_tr15,HDS,0.029414124,11.7088
bias_tr16,HDS,0.140721925,19.763
bias_tr17,HDS,0.0898019,12.1106
bias_tr18,HDS,0.079596754,10.0514
bias_tr19,HDS,0.11175323,7.0374
bias_tr20,HDS,-0.012809112,5.859133333
bias_tr21,HDS,0.022240899,7.375666667
bias_tr22,HDS,-0.15719101,23.78813333
bias_tr23,HDS,-0.061583997,21.71626667
bias_tr24,HDS,0.008328898,5.5066
bias_tr25,HDS,-0.091112884,18.47826667
bias_tr26,HDS,-0.003629323,23.10286667
bias_tr27,HDS,-0.196021719,27.5942
bias_tr28,HDS,0.526492588,24.87
bias_tr29,HDS,0.057241424,15.86206667
bias_tr30,HDS,0.009861839,4.016133333
bias_tr31,HDS,-0.001032257,0.15
bias_tr32,HDS,-0.034393955,3.640333333
bias_tr33,HDS,0.19003117,25.40766667
bias_tr34,HDS,0.213947851,16.94586667
bias_tr35,HDS,-0.400884132,22.82253333
bias_tr36,HDS,-0.013204302,2.428666667
