transects,model,bias_per_transect,observed_nests
bias_tr1,MHDS,0.00081823,6.451066667
bias_tr2,MHDS,0.016990256,3.660866667
bias_tr3,MHDS,0.016988178,3.682866667
bias_tr4,MHDS,0.023984524,1.407933333
bias_tr5,MHDS,-0.004091095,5.416533333
bias_tr6,MHDS,0.028567205,5.1166
bias_tr7,MHDS,-0.027304694,3.326466667
bias_tr8,MHDS,0.028011258,2.565133333
bias_tr9,MHDS,0.022262509,1.662733333
bias_tr10,MHDS,-0.007923346,1.593133333
bias_tr11,MHDS,0.021237693,6.651333333
bias_tr12,MHDS,0.046373577,3.640666667
bias_tr13,MHDS,0.034562906,5.097333333
bias_tr14,MHDS,-0.004819307,3.2786
bias_tr15,MHDS,-0.000931609,4.554866667
bias_tr16,MHDS,0.036627864,3.6542
bias_tr17,MHDS,0.018180783,4.5142
bias_tr18,MHDS,0.002274092,4.4992
bias_tr19,MHDS,-0.004624265,5.965066667
bias_tr20,MHDS,0.003126972,5.6702
bias_tr21,MHDS,0.023110969,5.103333333
bias_tr22,MHDS,0.013736472,2.989266667
bias_tr23,MHDS,-0.023504372,3.2596
bias_tr24,MHDS,0.09835002,5.822733333
bias_tr25,MHDS,-0.045448876,3.831
bias_tr26,MHDS,0.020616852,2.7628
bias_tr27,MHDS,-0.039461035,2.655266667
bias_tr28,MHDS,-0.024196876,2.704933333
bias_tr29,MHDS,-0.030239124,3.7782
bias_tr30,MHDS,0.050390111,6.3346
bias_tr31,MHDS,-0.127298075,9.1462
bias_tr32,MHDS,-0.024009856,6.367933333
bias_tr33,MHDS,-0.002124865,2.300533333
bias_tr34,MHDS,0.027662419,2.614066667
bias_tr35,MHDS,0.017355905,2.924133333
bias_tr36,MHDS,-0.068016502,7.183266667
bias_tr37,MHDS,0.104031247,30.46246667
bias_tr38,MHDS,0.147724099,21.67326667
bias_tr39,MHDS,-0.107831763,9.107466667
bias_tr40,MHDS,-0.113512123,22.92406667
bias_tr41,MHDS,0.018270013,31.45966667
bias_tr42,MHDS,0.109637514,35.76053333
bias_tr43,MHDS,-0.138634373,17.57613333
bias_tr44,MHDS,0.086568862,25.28893333
bias_tr45,MHDS,-1.087220486,36.2592
bias_tr46,MHDS,0.018129022,29.2828
