transects,model,bias_per_transect,observed_dung
bias_tr1,HDS,-0.015041851,3.939333333
bias_tr2,HDS,0.362244082,18.87646667
bias_tr3,HDS,0.131488923,19.53313333
bias_tr4,HDS,-0.367377652,21.5096
bias_tr5,HDS,-0.070330909,7.201933333
bias_tr6,HDS,-0.030548182,9.0032
bias_tr7,HDS,-0.550711748,22.4492
bias_tr8,HDS,-0.1585353,25.802
bias_tr9,HDS,0.209431812,19.7156
bias_tr10,HDS,-0.318459494,17.97693333
bias_tr11,HDS,0.004967721,2.843666667
bias_tr12,HDS,-0.095222836,18.956
bias_tr13,HDS,-0.067748355,8.824133333
bias_tr14,HDS,-0.171973271,23.36526667
bias_tr15,HDS,0.008553038,11.90326667
bias_tr16,HDS,-0.007703615,19.0192
bias_tr17,HDS,-0.045456801,12.1054
bias_tr18,HDS,-0.110260363,10.09413333
bias_tr19,HDS,0.076031079,7.2606
bias_tr20,HDS,0.032720989,5.933933333
bias_tr21,HDS,0.007110445,7.669466667
bias_tr22,HDS,0.087664159,22.3912
bias_tr23,HDS,0.147519906,20.72006667
bias_tr24,HDS,0.073364883,5.547133333
bias_tr25,HDS,0.046232388,17.9596
bias_tr26,HDS,-0.144044604,22.79306667
bias_tr27,HDS,-0.044739741,25.65806667
bias_tr28,HDS,0.076104372,24.3256
bias_tr29,HDS,-0.004472329,15.34106667
bias_tr30,HDS,-0.00503584,4.123933333
bias_tr31,HDS,0.004977441,0.3484
bias_tr32,HDS,0.030063207,3.980933333
bias_tr33,HDS,0.397430496,23.94333333
bias_tr34,HDS,-0.029844039,17.28013333
bias_tr35,HDS,-0.049210821,21.8298
bias_tr36,HDS,-0.046551368,2.5472
