Tr,L,V1,V2,V3,V23,A
1,3.071,0,0,0,0,0.03071
2,3.14,19,0,3,3,0.0314
3,3.005,28,2,0,2,0.03005
4,3.157,24,0,16,16,0.03157
5,3.142,0,0,0,0,0.03142
6,3.084,0,0,0,0,0.03084
7,3.024,12,0,0,0,0.03024
8,3.134,19,0,0,0,0.03134
9,2.5,37,2,0,2,0.025
10,3,38,0,14,14,0.03
11,3,0,0,0,0,0.03
12,1.7,0,0,0,0,0.017
13,3.088,0,0,0,0,0.03088
14,3.04,15,0,6,6,0.0304
15,2.5,8,0,0,0,0.025
16,3.006,8,0,4,4,0.03006
17,3.007,6,1,0,1,0.03007
18,3.047,0,0,0,0,0.03047
19,3.089,0,0,0,0,0.03089
20,3.171,25,0,0,0,0.03171
21,3.019,0,0,0,0,0.03019
22,3,13,0,0,0,0.03
23,3,10,0,0,0,0.03
24,3.094,15,0,0,0,0.03094
25,3.129,2,0,0,0,0.03129
26,2.255,13,2,0,2,0.02255
27,2.4,28,0,0,0,0.024
28,3,5,1,0,1,0.03
29,3,4,6,0,6,0.03
30,3.105,0,0,0,0,0.03105
31,3.03,0,0,0,0,0.0303
32,3,3,0,0,0,0.03
33,3.019,0,0,0,0,0.03019
34,2.029,17,0,8,8,0.02029
35,3,0,1,0,1,0.03
36,3.075,0,0,0,0,0.03075
