Tr,V1,V2,V3,V23,L,A
1,0,0,1,1,3.036,0.03036
2,11,1,0,1,3,0.03
3,4,0,0,0,3.02,0.0302
4,1,1,0,1,3.02,0.0302
5,0,2,4,6,3.142,0.03142
6,0,0,0,0,3,0.03
7,1,18,0,18,3.05,0.0305
8,3,1,1,2,3.04,0.0304
9,2,2,3,5,3,0.03
10,3,2,2,4,3.105,0.03105
11,0,0,0,0,3,0.03
12,0,0,0,0,3.106,0.03106
13,0,0,0,0,3.121,0.03121
14,0,0,0,0,3.06,0.0306
15,2,2,14,16,3.174,0.03174
16,0,1,0,1,3,0.03
17,0,6,0,6,3,0.03
18,0,0,1,1,3,0.03
19,0,0,0,0,3.313,0.03313
20,1,0,0,0,3,0.03
21,0,0,5,5,3.048,0.03048
22,1,3,9,12,3,0.03
23,3,8,9,17,3,0.03
24,0,0,0,0,3,0.03
25,9,3,28,31,3.132,0.03132
26,39,5,16,21,3.057,0.03057
27,5,2,0,2,3.052,0.03052
28,0,1,4,5,3.02,0.0302
29,1,7,4,11,2.653,0.02653
30,0,0,0,0,3.147,0.03147
31,3,2,0,2,3.173,0.03173
32,1,3,0,3,3.294,0.03294
33,0,2,2,4,3.02,0.0302
34,13,7,12,19,2.254,0.02254
35,2,17,0,17,3,0.03
36,1,0,0,0,3.291,0.03291
