Tr,Visit,eldung,dist
1,1,2,65
2,1,1,1
2,1,1,1
2,1,4,4
2,1,3,1
2,1,2,1
2,1,2,1
2,1,1,2
2,1,1,2
2,1,1,3
2,1,3,3
3,1,1,1
3,1,5,1
3,1,3,1
3,1,1,1
3,1,1,1
3,1,2,1
3,1,1,2
3,1,1,6
3,1,1,30
3,1,1,40
3,1,4,1
3,1,4,1
3,1,1,1
3,1,2,2
3,1,1,3
3,1,1,3
3,1,1,3
4,1,11,1
4,1,2,1
4,1,3,1
4,1,2,1
4,1,4,1
4,1,2,1
6,1,1,8
6,1,1,8
7,1,2,1
7,1,3,1
7,1,1,2
7,1,1,2
7,1,1,7
7,1,1,2
7,1,1,3
7,1,1,3
7,1,1,4
7,1,1,5
8,1,4,1
8,1,2,1
8,1,1,1
8,1,1,1
8,1,1,1
8,1,1,1
8,1,1,2
8,1,1,1
8,1,1,1
8,1,1,1
8,1,1,2
8,1,1,2
8,1,2,2
8,1,1,3
9,1,1,1
9,1,1,1
9,1,2,2
9,1,1,1
9,1,1,1
9,1,1,1
9,1,1,1
9,1,1,2
9,1,1,2
9,1,1,2
9,1,1,2
9,1,1,11
9,1,1,12
9,1,1,13
9,1,1,14
9,1,1,3
9,1,1,3
9,1,1,3
9,1,1,3
9,1,2,3
9,1,1,21
9,1,1,4
9,1,1,4
9,1,1,4
9,1,2,4
9,1,1,4
9,1,4,4
9,1,1,4
9,1,3,5
9,1,1,5
9,1,1,5
9,1,1,5
9,1,1,5
9,1,1,5
9,1,1,6
9,1,1,7
9,1,1,7
9,1,1,8
9,1,1,9
9,1,1,10
10,1,1,1
10,1,1,1
10,1,2,1
10,1,1,1
10,1,2,1
10,1,2,2
10,1,2,3
10,1,6,4
10,1,4,1
10,1,4,1
10,1,1,1
10,1,2,1
10,1,2,2
10,1,1,2
10,1,1,3
10,1,1,3
10,1,1,3
10,1,1,3
10,1,1,3
10,1,1,4
10,1,1,4
14,1,1,1
14,1,1,1
14,1,1,1
14,1,1,1
14,1,1,1
14,1,1,1
14,1,1,2
14,1,1,2
14,1,1,2
14,1,1,2
14,1,1,3
14,1,1,3
14,1,1,4
14,1,1,4
14,1,1,5
14,1,1,6
14,1,1,6
14,1,1,7
14,1,1,8
14,1,1,10
15,1,1,1
15,1,1,1
15,1,1,3
15,1,1,3
15,1,1,3
15,1,1,4
15,1,2,5
16,1,3,1
16,1,1,1
16,1,1,1
16,1,3,2
17,1,1,1
17,1,1,1
17,1,1,1
17,1,1,1
17,1,1,1
17,1,1,2
20,1,6,1
20,1,3,1
20,1,1,3
20,1,1,3
20,1,1,9
20,1,1,1
20,1,1,1
20,1,1,1
20,1,1,1
20,1,1,1
20,1,1,1
20,1,1,1
20,1,2,1
20,1,1,1
20,1,1,2
20,1,1,3
20,1,1,4
20,1,1,5
20,1,1,6
20,1,1,6
21,1,1,10
21,1,1,22
21,1,1,30
21,1,1,40
21,1,1,75
22,1,1,1
22,1,1,1
22,1,1,1
22,1,1,2
22,1,1,2
22,1,1,2
22,1,1,2
22,1,1,2
22,1,1,3
22,1,1,3
22,1,1,3
22,1,1,4
22,1,1,5
23,1,7,1
23,1,1,1
23,1,1,1
23,1,1,1
24,1,1,1
24,1,2,1
24,1,1,1
24,1,2,1
24,1,2,2
24,1,2,2
24,1,1,2
24,1,1,2
24,1,2,2
24,1,1,3
25,1,1,1
25,1,1,3
25,1,1,7
25,1,1,16
25,1,1,40
25,1,1,60
25,1,1,13
26,1,2,1
26,1,2,1
26,1,1,1
26,1,1,1
26,1,2,1
26,1,1,1
26,1,1,1
26,1,1,1
26,1,1,2
26,1,1,2
27,1,1,1
27,1,5,1
27,1,3,1
27,1,1,1
27,1,2,1
27,1,3,2
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,2,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,2,3
27,1,1,3
27,1,1,3
28,1,1,1
28,1,1,1
28,1,1,2
28,1,1,2
28,1,1,3
29,1,1,2
29,1,1,3
29,1,1,3
29,1,1,3
29,1,1,8
29,1,1,8
32,1,1,1
32,1,1,1
32,1,1,1
34,1,3,1
34,1,1,1
34,1,5,1
34,1,4,3
34,1,1,5
34,1,1,6
34,1,1,3
34,1,2,4
