Region.Label,Area,Sample.Label.original,object,distance,dist,Effort.original,Sample.Label,grouping,Effort
Mara,443,1,NA,NA,NA,3.071,1,1,12.373
Mara,443,2,1,0.5,1,3.14,1,1,12.373
Mara,443,2,2,2.15,3,3.14,1,1,12.373
Mara,443,2,3,2.15,3,3.14,1,1,12.373
Mara,443,3,4,0.5,1,3.005,1,1,12.373
Mara,443,3,5,0.5,1,3.005,1,1,12.373
Mara,443,4,6,0.3,1,3.157,1,1,12.373
Mara,443,4,7,0.3,1,3.157,1,1,12.373
Mara,443,4,8,0.3,1,3.157,1,1,12.373
Mara,443,4,9,0.3,1,3.157,1,1,12.373
Mara,443,4,10,0.4,1,3.157,1,1,12.373
Mara,443,4,11,0.4,1,3.157,1,1,12.373
Mara,443,4,12,0.5,1,3.157,1,1,12.373
Mara,443,4,13,0.5,1,3.157,1,1,12.373
Mara,443,4,14,0.5,1,3.157,1,1,12.373
Mara,443,4,15,0.5,1,3.157,1,1,12.373
Mara,443,4,16,0.8,1,3.157,1,1,12.373
Mara,443,4,17,0.8,1,3.157,1,1,12.373
Mara,443,4,18,0.8,1,3.157,1,1,12.373
Mara,443,4,19,0.8,1,3.157,1,1,12.373
Mara,443,4,20,1,1,3.157,1,1,12.373
Mara,443,4,21,1,1,3.157,1,1,12.373
Mara,443,5,NA,NA,NA,3.142,2,1,17.884
Mara,443,6,NA,NA,NA,3.084,2,1,17.884
Mara,443,7,NA,NA,NA,3.024,2,1,17.884
Mara,443,8,NA,NA,NA,3.134,2,1,17.884
Mara,443,9,22,0.35,1,2.5,2,1,17.884
Mara,443,9,23,1,1,2.5,2,1,17.884
Mara,443,9,24,6.5,7,2.5,2,1,17.884
Mara,443,10,25,0,1,3,2,1,17.884
Mara,443,10,26,0,1,3,2,1,17.884
Mara,443,10,27,0,1,3,2,1,17.884
Mara,443,10,28,0,1,3,2,1,17.884
Mara,443,10,29,0,1,3,2,1,17.884
Mara,443,10,30,0,1,3,2,1,17.884
Mara,443,10,31,0.1,1,3,2,1,17.884
Mara,443,10,32,0.1,1,3,2,1,17.884
Mara,443,10,33,1.65,2,3,2,1,17.884
Mara,443,10,34,1.65,2,3,2,1,17.884
Mara,443,10,35,4,4,3,2,1,17.884
Mara,443,10,36,4,4,3,2,1,17.884
Mara,443,10,37,4,4,3,2,1,17.884
Mara,443,10,38,4,4,3,2,1,17.884
Mara,443,10,39,6.25,7,3,2,1,17.884
Mara,443,10,40,6.25,7,3,2,1,17.884
Mara,443,10,41,6.25,7,3,2,1,17.884
Mara,443,10,42,6.25,7,3,2,1,17.884
Mara,443,11,NA,NA,NA,3,3,2,13.328
Mara,443,12,NA,NA,NA,1.7,3,2,13.328
Mara,443,13,NA,NA,NA,3.088,3,2,13.328
Mara,443,14,43,1.68,2,3.04,3,2,13.328
Mara,443,14,44,1.68,2,3.04,3,2,13.328
Mara,443,14,45,3.63,4,3.04,3,2,13.328
Mara,443,14,46,3.63,4,3.04,3,2,13.328
Mara,443,14,47,3.77,4,3.04,3,2,13.328
Mara,443,14,48,3.77,4,3.04,3,2,13.328
Mara,443,15,NA,NA,NA,2.5,3,2,13.328
Mara,443,16,49,0.9,1,3.006,4,2,12.149
Mara,443,16,50,0.9,1,3.006,4,2,12.149
Mara,443,16,51,1,1,3.006,4,2,12.149
Mara,443,16,52,1,1,3.006,4,2,12.149
Mara,443,17,53,0.6,1,3.007,4,2,12.149
Mara,443,18,NA,NA,NA,3.047,4,2,12.149
Mara,443,19,NA,NA,NA,3.089,4,2,12.149
Mara,443,20,NA,NA,NA,3.171,5,3,12.19
Mara,443,21,NA,NA,NA,3.019,5,3,12.19
Mara,443,22,NA,NA,NA,3,5,3,12.19
Mara,443,23,NA,NA,NA,3,5,3,12.19
Mara,443,24,NA,NA,NA,3.094,6,3,8.478
Mara,443,25,NA,NA,NA,3.129,6,3,8.478
Mara,443,26,54,3,3,2.255,6,3,8.478
Mara,443,26,55,4.9,5,2.255,6,3,8.478
Mara,443,27,NA,NA,NA,2.4,7,4,11.505
Mara,443,28,56,0.49,1,3,7,4,11.505
Mara,443,29,57,0.25,1,3,7,4,11.505
Mara,443,29,58,0.43,1,3,7,4,11.505
Mara,443,29,59,0.45,1,3,7,4,11.505
Mara,443,29,60,1.6,2,3,7,4,11.505
Mara,443,29,61,1.67,2,3,7,4,11.505
Mara,443,29,62,4.75,5,3,7,4,11.505
Mara,443,30,NA,NA,NA,3.105,7,4,11.505
Mara,443,31,NA,NA,NA,3.03,8,4,9.049
Mara,443,32,NA,NA,NA,3,8,4,9.049
Mara,443,33,NA,NA,NA,3.019,8,4,9.049
Mara,443,34,63,0,1,2.029,9,5,8.104
Mara,443,34,64,0,1,2.029,9,5,8.104
Mara,443,34,65,1,1,2.029,9,5,8.104
Mara,443,34,66,1,1,2.029,9,5,8.104
Mara,443,34,67,2,2,2.029,9,5,8.104
Mara,443,34,68,2,2,2.029,9,5,8.104
Mara,443,34,69,2,2,2.029,9,5,8.104
Mara,443,34,70,2,2,2.029,9,5,8.104
Mara,443,35,71,0.13,1,3,9,5,8.104
Mara,443,36,NA,NA,NA,3.075,9,5,8.104
