Region.Label,Area,Sample.Label.original,object,distance,Effort.original,dist,Sample.Label,grouping,Effort
Mara,443,1,1,0.73,3.036,1,1,1,12.207
Mara,443,2,2,0.4,3,1,1,1,12.207
Mara,443,3,NA,NA,3.02,NA,1,1,12.207
Mara,443,4,3,0.41,3.02,1,1,1,12.207
Mara,443,5,4,0.82,3.142,1,2,1,18.06
Mara,443,5,5,0.82,3.142,1,2,1,18.06
Mara,443,5,6,0.82,3.142,1,2,1,18.06
Mara,443,5,7,0.82,3.142,1,2,1,18.06
Mara,443,5,8,0.24,3.142,1,2,1,18.06
Mara,443,5,9,0.24,3.142,1,2,1,18.06
Mara,443,6,NA,NA,3,NA,2,1,18.06
Mara,443,7,10,0,3.05,1,2,1,18.06
Mara,443,7,11,0,3.05,1,2,1,18.06
Mara,443,7,12,0,3.05,1,2,1,18.06
Mara,443,7,13,0.27,3.05,1,2,1,18.06
Mara,443,7,14,0.61,3.05,1,2,1,18.06
Mara,443,7,15,0.98,3.05,1,2,1,18.06
Mara,443,7,16,0.98,3.05,1,2,1,18.06
Mara,443,7,17,1,3.05,1,2,1,18.06
Mara,443,7,18,1.95,3.05,2,2,1,18.06
Mara,443,7,19,2.02,3.05,3,2,1,18.06
Mara,443,7,20,2.02,3.05,3,2,1,18.06
Mara,443,7,21,2.02,3.05,3,2,1,18.06
Mara,443,7,22,2.8,3.05,3,2,1,18.06
Mara,443,7,23,2.8,3.05,3,2,1,18.06
Mara,443,7,24,3.6,3.05,4,2,1,18.06
Mara,443,7,25,3.95,3.05,4,2,1,18.06
Mara,443,7,26,4,3.05,5,2,1,18.06
Mara,443,7,27,4.25,3.05,5,2,1,18.06
Mara,443,7,28,5.6,3.05,6,2,1,18.06
Mara,443,8,29,0.4,3.04,1,2,1,18.06
Mara,443,8,30,0.8,3.04,1,2,1,18.06
Mara,443,9,31,0.94,3,1,2,1,18.06
Mara,443,9,32,1.1,3,2,2,1,18.06
Mara,443,9,33,1.1,3,2,2,1,18.06
Mara,443,9,34,1.1,3,2,2,1,18.06
Mara,443,9,35,1.52,3,2,2,1,18.06
Mara,443,10,36,0.9,3.105,1,2,1,18.06
Mara,443,10,37,1.4,3.105,2,2,1,18.06
Mara,443,10,38,0.75,3.105,1,2,1,18.06
Mara,443,10,39,1.2,3.105,2,2,1,18.06
Mara,443,11,NA,NA,3,NA,3,2,15.221
Mara,443,12,NA,NA,3.106,NA,3,2,15.221
Mara,443,13,NA,NA,3.121,NA,3,2,15.221
Mara,443,14,NA,NA,3.06,NA,3,2,15.221
Mara,443,15,40,0.1,3.174,1,3,2,15.221
Mara,443,15,41,0.2,3.174,1,3,2,15.221
Mara,443,15,42,0.25,3.174,1,3,2,15.221
Mara,443,15,43,0.35,3.174,1,3,2,15.221
Mara,443,15,44,0.4,3.174,1,3,2,15.221
Mara,443,15,45,0.6,3.174,1,3,2,15.221
Mara,443,15,46,0.65,3.174,1,3,2,15.221
Mara,443,15,47,0.65,3.174,1,3,2,15.221
Mara,443,15,48,0.65,3.174,1,3,2,15.221
Mara,443,15,49,0.8,3.174,1,3,2,15.221
Mara,443,15,50,1,3.174,1,3,2,15.221
Mara,443,15,51,1.2,3.174,2,3,2,15.221
Mara,443,15,52,1.3,3.174,2,3,2,15.221
Mara,443,15,53,2,3.174,2,3,2,15.221
Mara,443,15,54,0.65,3.174,1,3,2,15.221
Mara,443,15,55,0.83,3.174,1,3,2,15.221
Mara,443,16,56,0.9,3,1,4,2,12.313
Mara,443,17,57,0.5,3,1,4,2,12.313
Mara,443,17,58,0.7,3,1,4,2,12.313
Mara,443,17,59,0.7,3,1,4,2,12.313
Mara,443,17,60,1,3,1,4,2,12.313
Mara,443,17,61,1.5,3,2,4,2,12.313
Mara,443,17,62,4,3,5,4,2,12.313
Mara,443,18,63,1.34,3,2,4,2,12.313
Mara,443,19,NA,NA,3.313,NA,4,2,12.313
Mara,443,20,NA,NA,3,NA,5,3,12.045
Mara,443,21,64,0.4,3.048,1,5,3,12.045
Mara,443,21,65,1.7,3.048,2,5,3,12.045
Mara,443,21,66,2.1,3.048,3,5,3,12.045
Mara,443,21,67,2.1,3.048,3,5,3,12.045
Mara,443,21,68,4.3,3.048,5,5,3,12.045
Mara,443,22,69,0.4,3,1,5,3,12.045
Mara,443,22,70,0.4,3,1,5,3,12.045
Mara,443,22,71,0.4,3,1,5,3,12.045
Mara,443,22,72,0.4,3,1,5,3,12.045
Mara,443,22,73,0.7,3,1,5,3,12.045
Mara,443,22,74,0.7,3,1,5,3,12.045
Mara,443,22,75,0.7,3,1,5,3,12.045
Mara,443,22,76,0.8,3,1,5,3,12.045
Mara,443,22,77,0.9,3,1,5,3,12.045
Mara,443,22,78,0.3,3,1,5,3,12.045
Mara,443,22,79,0.4,3,1,5,3,12.045
Mara,443,22,80,0.9,3,1,5,3,12.045
Mara,443,23,81,1.95,3,2,5,3,12.045
Mara,443,23,82,1.95,3,2,5,3,12.045
Mara,443,23,83,1.95,3,2,5,3,12.045
Mara,443,23,84,1.95,3,2,5,3,12.045
Mara,443,23,85,1.98,3,2,5,3,12.045
Mara,443,23,86,1.98,3,2,5,3,12.045
Mara,443,23,87,1.98,3,2,5,3,12.045
Mara,443,23,88,2,3,2,5,3,12.045
Mara,443,23,89,2,3,2,5,3,12.045
Mara,443,23,90,0.22,3,1,5,3,12.045
Mara,443,23,91,0.22,3,1,5,3,12.045
Mara,443,23,92,0.22,3,1,5,3,12.045
Mara,443,23,93,0.22,3,1,5,3,12.045
Mara,443,23,94,0.31,3,1,5,3,12.045
Mara,443,23,95,0.73,3,1,5,3,12.045
Mara,443,23,96,0.73,3,1,5,3,12.045
Mara,443,23,97,0.73,3,1,5,3,12.045
