Region.Label,Area,Sample.Label.original,object,Effort.original,distance,dist,grouping,Sample.Label,Effort
Kal.mara,580,1,1,3.071,5,1,1,1,12.373
Kal.mara,580,1,2,3.071,11,3,1,1,12.373
Kal.mara,580,2,NA,3.14,NA,NA,1,1,12.373
Kal.mara,580,3,3,3.005,10,2,1,1,12.373
Kal.mara,580,4,4,3.157,3,1,1,1,12.373
Kal.mara,580,4,5,3.157,3,1,1,1,12.373
Kal.mara,580,4,6,3.157,5,1,1,1,12.373
Kal.mara,580,4,7,3.157,20,4,1,1,12.373
Kal.mara,580,5,NA,3.142,NA,NA,1,2,17.884
Kal.mara,580,6,NA,3.084,NA,NA,1,2,17.884
Kal.mara,580,7,8,3.024,5,1,1,2,17.884
Kal.mara,580,8,9,3.134,2,1,1,2,17.884
Kal.mara,580,8,10,3.134,2,1,1,2,17.884
Kal.mara,580,9,NA,2.5,NA,NA,1,2,17.884
Kal.mara,580,10,NA,3,NA,NA,1,2,17.884
Kal.mara,580,11,11,3,11,3,2,3,13.328
Kal.mara,580,11,12,3,13,3,2,3,13.328
Kal.mara,580,12,13,1.7,10,2,2,3,13.328
Kal.mara,580,13,NA,3.088,NA,NA,2,3,13.328
Kal.mara,580,14,14,3.04,10,2,2,3,13.328
Kal.mara,580,15,NA,2.5,NA,NA,2,3,13.328
Kal.mara,580,16,NA,3.006,NA,NA,2,4,12.149
Kal.mara,580,17,15,3.007,0,1,2,4,12.149
Kal.mara,580,18,NA,3.047,NA,NA,2,4,12.149
Kal.mara,580,19,16,3.089,3,1,2,4,12.149
Kal.mara,580,19,17,3.089,7,2,2,4,12.149
Kal.mara,580,19,18,3.089,9,2,2,4,12.149
Kal.mara,580,19,19,3.089,9,2,2,4,12.149
Kal.mara,580,19,20,3.089,12,3,2,4,12.149
Kal.mara,580,19,21,3.089,18,4,2,4,12.149
Kal.mara,580,20,NA,3.171,NA,NA,3,5,12.19
Kal.mara,580,21,NA,3.019,NA,NA,3,5,12.19
Kal.mara,580,22,NA,3,NA,NA,3,5,12.19
Kal.mara,580,23,NA,3,NA,NA,3,5,12.19
Kal.mara,580,24,22,3.094,6,2,3,6,8.478
Kal.mara,580,24,23,3.094,15,3,3,6,8.478
Kal.mara,580,24,24,3.094,18,4,3,6,8.478
