Region.Label,Area,Sample.Label.original,object,Effort.original,distance,dist,grouping,Sample.Label,Effort
Kalinzu,137,37,1,3,0,1,1,1,6.055
Kalinzu,137,37,2,3,6,2,1,1,6.055
Kalinzu,137,37,3,3,6,2,1,1,6.055
Kalinzu,137,37,4,3,6,2,1,1,6.055
Kalinzu,137,37,5,3,6,2,1,1,6.055
Kalinzu,137,37,6,3,8,2,1,1,6.055
Kalinzu,137,37,7,3,9,2,1,1,6.055
Kalinzu,137,37,8,3,9,2,1,1,6.055
Kalinzu,137,37,9,3,12,3,1,1,6.055
Kalinzu,137,37,10,3,12,3,1,1,6.055
Kalinzu,137,37,11,3,13,3,1,1,6.055
Kalinzu,137,37,12,3,13,3,1,1,6.055
Kalinzu,137,37,13,3,14,3,1,1,6.055
Kalinzu,137,37,14,3,16,4,1,1,6.055
Kalinzu,137,37,15,3,17,4,1,1,6.055
Kalinzu,137,37,16,3,17,4,1,1,6.055
Kalinzu,137,37,17,3,17,4,1,1,6.055
Kalinzu,137,37,18,3,20,4,1,1,6.055
Kalinzu,137,37,19,3,20,4,1,1,6.055
Kalinzu,137,37,20,3,24,5,1,1,6.055
Kalinzu,137,37,21,3,34,7,1,1,6.055
Kalinzu,137,37,22,3,34,7,1,1,6.055
Kalinzu,137,37,23,3,66,12,1,1,6.055
Kalinzu,137,37,24,3,66,12,1,1,6.055
Kalinzu,137,37,25,3,66,12,1,1,6.055
Kalinzu,137,37,26,3,66,12,1,1,6.055
Kalinzu,137,38,27,3.055,1,1,1,1,6.055
Kalinzu,137,38,28,3.055,2,1,1,1,6.055
Kalinzu,137,38,29,3.055,2,1,1,1,6.055
Kalinzu,137,38,30,3.055,3,1,1,1,6.055
Kalinzu,137,38,31,3.055,3,1,1,1,6.055
Kalinzu,137,38,32,3.055,3,1,1,1,6.055
Kalinzu,137,38,33,3.055,3,1,1,1,6.055
Kalinzu,137,38,34,3.055,5,1,1,1,6.055
Kalinzu,137,38,35,3.055,5,1,1,1,6.055
Kalinzu,137,38,36,3.055,5,1,1,1,6.055
Kalinzu,137,38,37,3.055,6,2,1,1,6.055
Kalinzu,137,38,38,3.055,6,2,1,1,6.055
Kalinzu,137,38,39,3.055,7,2,1,1,6.055
Kalinzu,137,38,40,3.055,7,2,1,1,6.055
Kalinzu,137,38,41,3.055,7,2,1,1,6.055
Kalinzu,137,38,42,3.055,8,2,1,1,6.055
Kalinzu,137,38,43,3.055,8,2,1,1,6.055
Kalinzu,137,38,44,3.055,8,2,1,1,6.055
Kalinzu,137,38,45,3.055,8,2,1,1,6.055
Kalinzu,137,38,46,3.055,8,2,1,1,6.055
Kalinzu,137,38,47,3.055,8,2,1,1,6.055
Kalinzu,137,38,48,3.055,8,2,1,1,6.055
Kalinzu,137,38,49,3.055,9,2,1,1,6.055
Kalinzu,137,38,50,3.055,9,2,1,1,6.055
Kalinzu,137,38,51,3.055,9,2,1,1,6.055
Kalinzu,137,38,52,3.055,10,2,1,1,6.055
Kalinzu,137,38,53,3.055,10,2,1,1,6.055
Kalinzu,137,38,54,3.055,11,3,1,1,6.055
Kalinzu,137,38,55,3.055,11,3,1,1,6.055
Kalinzu,137,38,56,3.055,12,3,1,1,6.055
Kalinzu,137,38,57,3.055,13,3,1,1,6.055
Kalinzu,137,38,58,3.055,13,3,1,1,6.055
Kalinzu,137,38,59,3.055,14,3,1,1,6.055
Kalinzu,137,38,60,3.055,15,3,1,1,6.055
Kalinzu,137,38,61,3.055,15,3,1,1,6.055
Kalinzu,137,38,62,3.055,16,4,1,1,6.055
Kalinzu,137,39,63,3.072,1,1,1,2,12.166
Kalinzu,137,39,64,3.072,2,1,1,2,12.166
Kalinzu,137,39,65,3.072,3,1,1,2,12.166
Kalinzu,137,39,66,3.072,3,1,1,2,12.166
Kalinzu,137,39,67,3.072,10,2,1,2,12.166
Kalinzu,137,39,68,3.072,10,2,1,2,12.166
Kalinzu,137,39,69,3.072,10,2,1,2,12.166
Kalinzu,137,39,70,3.072,10,2,1,2,12.166
Kalinzu,137,39,71,3.072,19,4,1,2,12.166
Kalinzu,137,39,72,3.072,20,4,1,2,12.166
Kalinzu,137,39,73,3.072,20,4,1,2,12.166
Kalinzu,137,40,74,3,0,1,1,2,12.166
Kalinzu,137,40,75,3,1,1,1,2,12.166
Kalinzu,137,40,76,3,1,1,1,2,12.166
Kalinzu,137,40,77,3,3,1,1,2,12.166
Kalinzu,137,40,78,3,3,1,1,2,12.166
Kalinzu,137,40,79,3,4,1,1,2,12.166
Kalinzu,137,40,80,3,4,1,1,2,12.166
Kalinzu,137,40,81,3,6,2,1,2,12.166
