Region.Label,Area,Sample.Label.original,object,Effort.original,Census,distance,dist,grouping,Effort,Sample.Label
Kalinzu,137,37,1,3.02,3,7,2,1,6.03,1
Kalinzu,137,37,2,3.02,3,10,2,1,6.03,1
Kalinzu,137,37,3,3.02,3,12,3,1,6.03,1
Kalinzu,137,37,4,3.02,2,3,1,1,6.03,1
Kalinzu,137,37,5,3.02,2,10,2,1,6.03,1
Kalinzu,137,37,6,3.02,2,13,3,1,6.03,1
Kalinzu,137,37,7,3.02,2,13,3,1,6.03,1
Kalinzu,137,37,8,3.02,2,15,3,1,6.03,1
Kalinzu,137,38,9,3.01,2,1,1,1,6.03,1
Kalinzu,137,38,10,3.01,2,2,1,1,6.03,1
Kalinzu,137,38,11,3.01,2,3,1,1,6.03,1
Kalinzu,137,38,12,3.01,2,4,1,1,6.03,1
Kalinzu,137,38,13,3.01,2,5,1,1,6.03,1
Kalinzu,137,38,14,3.01,2,3,1,1,6.03,1
Kalinzu,137,38,15,3.01,2,4,1,1,6.03,1
Kalinzu,137,38,16,3.01,2,5,1,1,6.03,1
Kalinzu,137,38,17,3.01,2,6,2,1,6.03,1
Kalinzu,137,38,18,3.01,2,8,2,1,6.03,1
Kalinzu,137,38,19,3.01,2,10,2,1,6.03,1
Kalinzu,137,38,20,3.01,2,11,3,1,6.03,1
Kalinzu,137,38,21,3.01,2,12,3,1,6.03,1
Kalinzu,137,38,22,3.01,2,10,2,1,6.03,1
Kalinzu,137,38,23,3.01,2,11,3,1,6.03,1
Kalinzu,137,38,24,3.01,2,12,3,1,6.03,1
Kalinzu,137,38,25,3.01,2,16,4,1,6.03,1
Kalinzu,137,38,26,3.01,2,17,4,1,6.03,1
Kalinzu,137,38,27,3.01,2,19,4,1,6.03,1
Kalinzu,137,38,28,3.01,3,1,1,1,6.03,1
Kalinzu,137,38,29,3.01,3,1,1,1,6.03,1
Kalinzu,137,38,30,3.01,3,5,1,1,6.03,1
Kalinzu,137,38,31,3.01,3,9,2,1,6.03,1
Kalinzu,137,38,32,3.01,3,9,2,1,6.03,1
Kalinzu,137,38,33,3.01,3,16,4,1,6.03,1
Kalinzu,137,38,34,3.01,3,18,4,1,6.03,1
Kalinzu,137,38,35,3.01,3,21,5,1,6.03,1
Kalinzu,137,38,36,3.01,3,21,5,1,6.03,1
Kalinzu,137,38,37,3.01,3,31,7,1,6.03,1
Kalinzu,137,39,38,3.06,2,2,1,1,12.12,2
Kalinzu,137,39,39,3.06,2,4,1,1,12.12,2
Kalinzu,137,39,40,3.06,2,4,1,1,12.12,2
Kalinzu,137,39,41,3.06,2,4,1,1,12.12,2
Kalinzu,137,39,42,3.06,2,5,1,1,12.12,2
Kalinzu,137,39,43,3.06,2,5,1,1,12.12,2
Kalinzu,137,39,44,3.06,2,6,2,1,12.12,2
Kalinzu,137,39,45,3.06,2,6,2,1,12.12,2
Kalinzu,137,39,46,3.06,2,7,2,1,12.12,2
Kalinzu,137,39,47,3.06,2,8,2,1,12.12,2
Kalinzu,137,39,48,3.06,2,9,2,1,12.12,2
Kalinzu,137,39,49,3.06,2,11,3,1,12.12,2
Kalinzu,137,40,50,3,2,3,1,1,12.12,2
