Tr,V1,V2,V3,V23,L,A
1,10,0,2,2,3.071,0.15355
2,0,2,0,2,3.14,0.157
3,11,1,0,1,3.005,0.15025
4,7,0,2,2,3.157,0.15785
5,2,0,0,0,3.142,0.1571
6,26,0,0,0,3.084,0.1542
7,15,1,0,1,3.024,0.1512
8,1,0,2,2,3.134,0.1567
9,0,0,0,0,2.5,0.125
10,0,0,0,0,3,0.15
11,18,1,1,2,3,0.15
12,0,1,0,1,1.7,0.085
13,0,0,0,0,3.088,0.1544
14,0,1,0,1,3.04,0.152
15,0,0,0,0,2.5,0.125
16,1,0,0,0,3.006,0.1503
17,0,1,0,1,3.007,0.15035
18,0,0,0,0,3.047,0.15235
19,10,0,6,6,3.089,0.15445
20,4,0,0,0,3.171,0.15855
21,0,0,0,0,3.019,0.15095
22,0,0,0,0,3,0.15
23,0,0,0,0,3,0.15
24,12,1,2,3,3.094,0.1547
25,0,4,0,4,3.129,0.15645
26,2,0,0,0,2.255,0.11275
27,1,0,0,0,2.4,0.12
28,1,3,10,13,3,0.15
29,10,0,0,0,3,0.15
30,6,0,0,0,3.105,0.15525
31,0,20,0,20,3.03,0.1515
32,1,0,0,0,3,0.15
33,2,1,0,1,3.019,0.15095
34,0,0,0,0,2.029,0.10145
35,21,0,0,0,3,0.15
36,53,10,8,18,3.075,0.15375
37,25,20,0,20,3,0.15
38,40,23,13,36,3.055,0.15275
39,18,3,8,11,3.072,0.1536
40,53,29,4,33,3,0.15
41,5,0,0,0,3.052,0.1526
42,12,0,8,8,3.042,0.1521
43,17,25,22,47,3,0.15
44,15,4,5,9,3,0.15
45,2,5,4,9,2.82,0.141
46,32,15,0,15,3.011,0.15055
