Tr,L,V1,V2,V3,V23,A
1,3.06,0,2,0,2,0.153
2,3,0,0,0,0,0.15
3,3.02,0,0,0,0,0.151
4,3.127,1,2,0,2,0.15635
5,3,0,0,0,0,0.15
6,3,0,0,0,0,0.15
7,3,0,1,0,1,0.15
8,3.04,3,1,2,2,0.152
9,3,0,0,0,0,0.15
10,3.02,0,0,0,0,0.151
11,3,0,4,1,5,0.15
12,3,8,5,0,5,0.15
13,3.121,6,4,3,7,0.15605
14,3.05,5,3,1,3,0.1525
15,3.05,0,0,0,0,0.1525
16,3,0,0,0,0,0.15
17,3,0,0,0,0,0.15
18,3,0,8,2,10,0.15
19,3.313,0,1,4,5,0.16565
20,3,0,3,0,3,0.15
21,3,3,3,0,3,0.15
22,3,0,0,0,0,0.15
23,3.045,0,0,0,0,0.15225
24,3.045,0,2,0,2,0.15225
25,3.16,7,3,0,3,0.158
26,3.037,8,0,0,0,0.15185
27,3.038,1,0,2,2,0.1519
28,3,4,3,2,5,0.15
29,3.03,2,0,2,1,0.1515
30,3.003,0,1,0,1,0.15015
31,3.173,2,6,1,7,0.15865
32,3,2,1,0,1,0.15
33,3.02,14,0,6,6,0.151
34,3,0,0,0,0,0.15
35,3.02,5,6,0,6,0.151
36,3.291,7,7,4,11,0.16455
37,3.103,11,5,3,8,0.15515
38,3.01,43,19,10,28,0.1505
39,3.06,7,12,0,12,0.153
40,3,18,11,0,11,0.15
41,3.04,20,5,3,8,0.152
42,3.02,25,0,0,0,0.151
43,3,7,18,2,20,0.15
44,3,31,20,0,20,0.15
45,3.065,8,1,1,2,0.15325
46,3.065,47,2,9,11,0.15325
