Tr,Visit,cnest,dist
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,3
1,1,1,3
1,1,1,3
1,1,1,4
1,1,1,6
1,1,1,7
3,1,1,1
3,1,1,1
3,1,2,2
3,1,1,2
3,1,1,2
3,1,2,2
3,1,1,3
3,1,1,4
3,1,1,4
4,1,1,1
4,1,1,1
4,1,1,3
4,1,1,4
4,1,2,4
4,1,1,5
4,1,3,6
4,1,1,7
4,1,1,8
4,1,1,8
4,1,1,8
5,1,2,2
6,1,1,1
6,1,4,1
6,1,2,1
6,1,2,1
6,1,6,2
6,1,1,2
6,1,4,2
6,1,1,3
6,1,1,3
6,1,4,4
7,1,1,1
7,1,1,1
7,1,2,1
7,1,2,1
7,1,4,1
7,1,1,2
7,1,1,2
7,1,1,2
7,1,2,3
8,1,1,1
11,1,3,1
11,1,1,1
11,1,3,1
11,1,1,1
11,1,3,1
11,1,2,2
11,1,1,2
11,1,1,2
11,1,1,3
11,1,1,4
11,1,1,5
16,1,1,1
19,1,2,1
19,1,1,1
19,1,2,2
19,1,5,2
20,1,1,1
20,1,1,2
20,1,1,2
20,1,1,2
24,1,1,1
24,1,1,1
24,1,2,1
24,1,1,1
24,1,2,2
24,1,1,2
24,1,2,2
24,1,1,2
24,1,1,4
26,1,1,1
26,1,1,3
26,1,1,9
27,1,1,2
28,1,1,2
29,1,1,1
29,1,1,2
29,1,1,3
29,1,2,3
29,1,1,3
29,1,1,4
29,1,1,4
29,1,1,5
29,1,1,5
29,1,1,6
29,1,1,8
30,1,1,1
30,1,1,2
30,1,1,2
30,1,1,3
30,1,1,3
30,1,1,3
32,1,1,2
33,1,1,1
33,1,1,1
35,1,3,1
35,1,2,1
35,1,4,2
35,1,1,2
35,1,1,3
35,1,1,3
35,1,2,3
35,1,1,3
35,1,1,4
35,1,1,4
35,1,1,4
35,1,2,5
35,1,1,5
35,1,1,6
35,1,1,6
36,1,7,1
36,1,3,1
36,1,4,1
36,1,4,1
36,1,3,1
36,1,4,2
36,1,3,2
36,1,6,2
36,1,6,2
36,1,3,2
36,1,1,3
36,1,2,3
36,1,1,3
36,1,1,3
36,1,3,4
36,1,1,4
36,1,1,1
37,1,1,1
37,1,1,1
37,1,3,1
37,1,1,1
37,1,3,2
37,1,4,2
37,1,2,2
37,1,1,2
37,1,1,3
37,1,1,3
37,1,1,3
37,1,1,4
37,1,1,4
37,1,1,4
37,1,1,4
37,1,1,4
37,1,1,5
38,1,2,1
38,1,1,1
38,1,1,1
38,1,6,1
38,1,7,1
38,1,3,2
38,1,1,2
38,1,1,2
38,1,4,2
38,1,3,2
38,1,1,3
38,1,2,3
38,1,1,3
38,1,1,3
38,1,2,4
38,1,1,4
38,1,1,4
38,1,1,5
38,1,1,5
39,1,1,1
39,1,3,1
39,1,1,1
39,1,1,1
39,1,2,1
39,1,1,2
39,1,2,2
39,1,1,3
39,1,2,4
39,1,1,4
39,1,2,4
39,1,1,5
39,1,1,6
40,1,1,1
40,1,9,1
40,1,6,1
40,1,1,1
40,1,10,1
40,1,2,1
40,1,4,2
40,1,1,2
40,1,3,2
40,1,1,2
40,1,1,3
40,1,1,3
40,1,3,3
40,1,2,3
40,1,1,4
40,1,2,4
40,1,2,4
40,1,2,4
40,1,1,5
40,1,1,5
41,1,1,2
41,1,2,2
41,1,1,3
41,1,1,5
42,1,3,1
42,1,2,1
42,1,1,1
42,1,2,1
42,1,1,2
42,1,2,2
42,1,1,2
43,1,2,1
43,1,1,1
43,1,2,1
43,1,1,1
43,1,2,1
43,1,1,1
43,1,1,1
43,1,1,2
43,1,1,2
43,1,2,3
43,1,1,3
43,1,1,4
43,1,1,4
44,1,2,1
44,1,1,2
44,1,3,2
44,1,2,2
44,1,1,2
44,1,1,2
44,1,1,3
44,1,1,4
44,1,1,4
44,1,1,4
44,1,1,5
45,1,1,3
45,1,1,4
46,1,3,1
46,1,2,1
46,1,1,1
46,1,2,1
46,1,1,1
46,1,1,2
46,1,3,2
46,1,4,2
46,1,1,2
46,1,3,2
46,1,1,3
46,1,3,3
46,1,3,3
46,1,1,3
46,1,1,4
46,1,1,5
46,1,1,6
