Region.Label,Area,Sample.Label.original,object,Effort.original,distance,dist,grouping,Sample.Label,Effort
Mara,443,1,1,3.071,5,1,1,1,12.373
Mara,443,1,2,3.071,11,3,1,1,12.373
Mara,443,2,NA,3.14,NA,NA,1,1,12.373
Mara,443,3,3,3.005,10,2,1,1,12.373
Mara,443,4,4,3.157,3,1,1,1,12.373
Mara,443,4,5,3.157,3,1,1,1,12.373
Mara,443,4,6,3.157,5,1,1,1,12.373
Mara,443,4,7,3.157,20,4,1,1,12.373
Mara,443,5,NA,3.142,NA,NA,1,2,17.884
Mara,443,6,NA,3.084,NA,NA,1,2,17.884
Mara,443,7,8,3.024,5,1,1,2,17.884
Mara,443,8,9,3.134,2,1,1,2,17.884
Mara,443,8,10,3.134,2,1,1,2,17.884
Mara,443,9,NA,2.5,NA,NA,1,2,17.884
Mara,443,10,NA,3,NA,NA,1,2,17.884
Mara,443,11,11,3,11,3,2,3,13.328
Mara,443,11,12,3,13,3,2,3,13.328
Mara,443,12,13,1.7,10,2,2,3,13.328
Mara,443,13,NA,3.088,NA,NA,2,3,13.328
Mara,443,14,14,3.04,10,2,2,3,13.328
Mara,443,15,NA,2.5,NA,NA,2,3,13.328
Mara,443,16,NA,3.006,NA,NA,2,4,12.149
Mara,443,17,15,3.007,0,1,2,4,12.149
Mara,443,18,NA,3.047,NA,NA,2,4,12.149
Mara,443,19,16,3.089,3,1,2,4,12.149
Mara,443,19,17,3.089,7,2,2,4,12.149
Mara,443,19,18,3.089,9,2,2,4,12.149
Mara,443,19,19,3.089,9,2,2,4,12.149
Mara,443,19,20,3.089,12,3,2,4,12.149
Mara,443,19,21,3.089,18,4,2,4,12.149
Mara,443,20,NA,3.171,NA,NA,3,5,12.19
Mara,443,21,NA,3.019,NA,NA,3,5,12.19
Mara,443,22,NA,3,NA,NA,3,5,12.19
Mara,443,23,NA,3,NA,NA,3,5,12.19
Mara,443,24,22,3.094,6,2,3,6,8.478
Mara,443,24,23,3.094,15,3,3,6,8.478
Mara,443,24,24,3.094,18,4,3,6,8.478
Mara,443,25,25,3.129,4,1,3,6,8.478
Mara,443,25,26,3.129,11,3,3,6,8.478
Mara,443,25,27,3.129,12,3,3,6,8.478
Mara,443,25,28,3.129,17,4,3,6,8.478
Mara,443,26,NA,2.255,NA,NA,3,6,8.478
Mara,443,27,NA,2.4,NA,NA,4,7,11.505
Mara,443,28,29,3,5,1,4,7,11.505
Mara,443,28,30,3,5,1,4,7,11.505
Mara,443,28,31,3,6,2,4,7,11.505
Mara,443,28,32,3,6,2,4,7,11.505
Mara,443,28,33,3,7,2,4,7,11.505
Mara,443,28,34,3,7,2,4,7,11.505
Mara,443,28,35,3,8,2,4,7,11.505
Mara,443,28,36,3,8,2,4,7,11.505
Mara,443,28,37,3,10,2,4,7,11.505
Mara,443,28,38,3,10,2,4,7,11.505
Mara,443,28,39,3,11,3,4,7,11.505
Mara,443,28,40,3,15,3,4,7,11.505
Mara,443,28,41,3,15,3,4,7,11.505
Mara,443,28,42,3,29,6,4,7,11.505
Mara,443,28,43,3,34,7,4,7,11.505
Mara,443,29,44,3,28,6,4,7,11.505
Mara,443,29,45,3,29,6,4,7,11.505
Mara,443,30,NA,3.105,NA,NA,4,7,11.505
Mara,443,31,46,3.03,0,1,4,8,9.049
Mara,443,31,47,3.03,0,1,4,8,9.049
Mara,443,31,48,3.03,1,1,4,8,9.049
Mara,443,31,49,3.03,1,1,4,8,9.049
Mara,443,31,50,3.03,2,1,4,8,9.049
Mara,443,31,51,3.03,3,1,4,8,9.049
Mara,443,31,52,3.03,4,1,4,8,9.049
Mara,443,31,53,3.03,4,1,4,8,9.049
Mara,443,31,54,3.03,5,1,4,8,9.049
Mara,443,31,55,3.03,6,2,4,8,9.049
Mara,443,31,56,3.03,7,2,4,8,9.049
Mara,443,31,57,3.03,8,2,4,8,9.049
Mara,443,31,58,3.03,8,2,4,8,9.049
Mara,443,31,59,3.03,10,2,4,8,9.049
Mara,443,31,60,3.03,10,2,4,8,9.049
Mara,443,31,61,3.03,11,3,4,8,9.049
Mara,443,31,62,3.03,11,3,4,8,9.049
Mara,443,31,63,3.03,15,3,4,8,9.049
Mara,443,31,64,3.03,15,3,4,8,9.049
Mara,443,31,65,3.03,21,5,4,8,9.049
Mara,443,32,NA,3,NA,NA,4,8,9.049
Mara,443,33,66,3.019,1,1,4,8,9.049
Mara,443,34,NA,2.029,NA,NA,5,9,8.104
Mara,443,35,NA,3,NA,NA,5,9,8.104
Mara,443,36,67,3.075,0,1,5,9,8.104
Mara,443,36,68,3.075,0,1,5,9,8.104
Mara,443,36,69,3.075,0,1,5,9,8.104
Mara,443,36,70,3.075,1,1,5,9,8.104
Mara,443,36,71,3.075,3,1,5,9,8.104
Mara,443,36,72,3.075,3,1,5,9,8.104
Mara,443,36,73,3.075,4,1,5,9,8.104
Mara,443,36,74,3.075,5,1,5,9,8.104
Mara,443,36,75,3.075,5,1,5,9,8.104
Mara,443,36,76,3.075,5,1,5,9,8.104
Mara,443,36,77,3.075,8,2,5,9,8.104
Mara,443,36,78,3.075,10,2,5,9,8.104
Mara,443,36,79,3.075,10,2,5,9,8.104
Mara,443,36,80,3.075,13,3,5,9,8.104
Mara,443,36,81,3.075,13,3,5,9,8.104
Mara,443,36,82,3.075,15,3,5,9,8.104
Mara,443,36,83,3.075,16,4,5,9,8.104
Mara,443,36,84,3.075,16,4,5,9,8.104
Mara,443,36,85,3.075,31,7,5,9,8.104
Mara,443,36,86,3.075,31,7,5,9,8.104
